folio,rubrique,nom,statut_soc,objet,detail_objet,localisation,redevance
"f°7 verso, l.18",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,goede,dat was everarts Was,?,obole
"f°7 verso, l.18 aussi",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,?,?,tobbrucele,18 deniers et 1/2 chapon
"f°7 verso, l.19",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,1 boenre lants,?,"in de prochie van Aa ende van Anderlecht, bi der brugghen tAa",4 deniers
"f°7 verso, l.20",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,7 boendren boschs,-,te Meyghem,28 deniers
"f°7 verso, l.21",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,eere tseycsene/tseytsene,-,te borne achter wouter woninghe van den stene,2 deniers
"f°7 verso, l.22",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,1 boendre boschs ende 1 boendre lands,dat was wouters van zurenbeke,?,8 deniers
"f°7 verso, l.23",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,1 weghe,-,Ransvoert,3 deniers
"f°7 verso, l.24",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,1 besloten weghe ,-,vore ende achter thof van bovenberghe van nuws,3 deniers
"f°7 verso, l.25",In Sente Jans Prochie - Steen porte - Corenhuis,Sente Jans gasthuse,-,1 voerhoede,-,boven heinrec keys van heere hofstat,1 denier
"f°7 verso, l.26",In Sente Jans Prochie - Steen porte - Corenhuis,Gulkins wijf van Hoenkoert,,eere hofstat,die was Gheroys Vladebec,?,obole
"f°7 verso, l.27",In Sente Jans Prochie - Steen porte - Corenhuis,Jan de sloetmaker,?,van eere hofstat?,van reyners brugghen goede dat was Jans ende willemes estors van eere hofstat,?,1 denier
"f°7 verso, l.28",In Sente Jans Prochie - Steen porte - Corenhuis,Jan de sloetmaker,?,1 voervanghe,sire hofstat  ,?,1 denier
"f°7 verso, l.29",In Sente Jans Prochie - Steen porte - Corenhuis,Wouters de zeelmaker ende jacob van steenberghe,,1 hofstat ,die was der vrouwen van tienen ,bi sente jans,obole
"f°7 verso, l.30",In Sente Jans Prochie - Steen porte - Corenhuis,Magriete van Nedenberghe,,van den muere gaende opdn strate,-,jeghen sente jans kerchof over opden hornec,1 denier
"f°8 recto, l.1",In Sente Jans Prochie - Steen porte - Corenhuis,Hertewijcs ,mijne vrouwe,1 ghedele,"van tser h. boets wijf weghen, dat was vranx van der crommecammen",?,obole
"f°8 recto, l.2",In Sente Jans Prochie - Steen porte - Corenhuis,Magriete,gilijs dochter van Hoenkoert,1 voerhoede,"sire hofstat, die was gheroys vladenbecs",op den smaelbeke,3 deniers
"f°8 recto, l.3",In Sente Jans Prochie - Steen porte - Corenhuis,Jan de coster,"""die coren vercoept""",1 voerhoede,van goede dat was Heilwighen van Eleghem,op tsmaelbeke,1 denier
"f°8 recto, l.4",In Sente Jans Prochie - Steen porte - Corenhuis,Godevert tser Heinrec Boets sone,?,eere hofstat,?,diemen heet de crommecamme,obole
"f°8 recto, l.5",In Sente Jans Prochie - Steen porte - Corenhuis,Godevert Bote,-,van goede ende ghedele,dat was Katelinen Rulen Boets ,in de cattenstrate,1 denier
"f°8 recto, l.6",In Sente Jans Prochie - Steen porte - Corenhuis,Willem Boecs kindere,?,van lande,-,bi den nuwen bosch dat wilen was gheheten warande,1 denier 1 chapon
"f°8 recto, l.7  (barré)",In Sente Jans Prochie - Steen porte - Corenhuis,[Heinrec van Conincloe],?,[goede],[dat was stov-a aens? wijf van goede dat was wilen h. hoedemakers],[bi plaummaker?],[12 deniers]
"f°8 recto, l.8",In Sente Jans Prochie - Steen porte - Corenhuis,Kateline Van Mons,tser Jacobs dochter van Mons,goede,dat was Eggherex tswevers,te Wemmele,7 sous
"f°8 recto, l.9",In Sente Jans Prochie - Steen porte - Corenhuis,Kateline Van Mons,tser Jacobs dochter van Mons,goede,dat was Willems van den Poele,"""dat me een water es gheleghe te wemmele ter hasselt?","2,5 sous"
"f°8 recto, l.10",In Sente Jans Prochie - Steen porte - Corenhuis,Kateline Van Mons,tser Jacobs dochter van Mons,1 belotene weghe,-,"ter capelle,","1,5 deniers"
"f°8 recto, l.11",In Sente Jans Prochie - Steen porte - Corenhuis,Kateline Van Mons,tser Jacobs dochter van Mons,goede,dat was Gherarts behaghelaert wijf wilen der kindere van faaies,daer woende Colijn boye ende gulijs behaghelarts,2?
"f°8 recto, l.12",In Sente Jans Prochie - Steen porte - Corenhuis,Gheraert de Mol,?,eere hofstat,"van Jacobs van Wolve, die was wouters van campenhout",daer hi in woent,1 denier
"f°8 recto, l.13",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Kunne,?,eere hofstat,-,diemen heet de Hase,obole
"f°8 recto, l.14",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Kunne (?) et Godevert Bote (hi ende Gode.),-,eere hofstat,die was Jans Brievers,bi sijckerlide hof tobbrucele,obole
"f°8 recto,l.15",In Sente Jans Prochie - Steen porte - Corenhuis,Ghijsbrecht wijf van Bogaerde,-,eere hofstat,tenet Lijsbet Zeelmakers,diemen heet de hase,obole
"f°8 recto, l.16 (barré)",In Sente Jans Prochie - Steen porte - Corenhuis,[?],[-],[hofstaden],[die waren Heinrex eetebroeds],[op den steenwech],[10 sous 4 chapons]
"f°8 recto,l.17",In Sente Jans Prochie - Steen porte - Corenhuis,Coy Kunne,?,eere hofstat,van goede dat was Amelrex Moye,daer hi op woent,obole
"f°8 recto, l.18",In Sente Jans Prochie - Steen porte - Corenhuis,de riddere van Scancy/Stancy,de riddere,eere hofstat,van goede dat was der kindere van kesterbeke van eer hofstat die was Hertwijt,?,obole
"f°8 recto, l.19",In Sente Jans Prochie - Steen porte - Corenhuis,Jacomijn  Bahec/t/baliet/c,-,1 venstren,vore sine huis,bi jans flesmackers bi sente Jans kerchove,3 deniers
"f°8 recto, l.20",In Sente Jans Prochie - Steen porte - Corenhuis,Thonijs de placcijnmake,-,1 hofstat,van goede dat was her Daneels Mols wilen Godeverts Huiswerts,?,1 vijrlinc
"f°8 recto, l.21",In Sente Jans Prochie - Steen porte - Corenhuis,Thonijs de placcijnmake,-,1 voerhoede,daer hi 1 muir op setten mach omtrent 1 voet lettel meer och min vore tselve huis,?,2 deniers
"f°8 recto, l.22",In Sente Jans Prochie - Steen porte - Corenhuis,Daneels de Mol,her,eere hofstat,die was Godeverts Huidwerds,?,1 vijrlinc
"f°8 recto, l.23",In Sente Jans Prochie - Steen porte - Corenhuis,Jans kindere van Loxem,-,haere hofstat,-,daer,obole
"f°8 recto, l.24",In Sente Jans Prochie - Steen porte - Corenhuis,Jan uter Crommecamme,meester,eere hofstat,tenet her Godevert van der Vuren,die heet de crommecamme,obole
"f°8 recto, l.25",In Sente Jans Prochie - Steen porte - Corenhuis,Wouters mersmans wijf ende Beatrijs van Ophem,?,eere hofstat,"van goede dat was Jans van Herdesem tslercs, eere hofstat die mede vercochte",?,1 denier
"f°8 recto, l.26",In Sente Jans Prochie - Steen porte - Corenhuis,Amelrec van Eeke ,?,1 voerhoede,sire hofstat  ,op den hoernoc bi den nuwen huis,1 denier
"f°8 recto, l.27",In Sente Jans Prochie - Steen porte - Corenhuis,Ghijsbrechts Sabels kindere,?,eere hofstat,-,?,obole
"f°8 recto, l.28",In Sente Jans Prochie - Steen porte - Corenhuis,Ghijsbrecht Sabels kindere,?,goede,dat was Goedscales Cupers ,in dorsendal,4 chapons
"f°8 verso, l.1",In Sente Jans Prochie - Steen porte - Corenhuis,Jan de Starcke,?,goede,dat was Gielijs Spiegheleren,tobbrucele,"3 sous et 1,5 chapons"
"f°8 verso, l.2",In Sente Jans Prochie - Steen porte - Corenhuis,Jan de Starcke,?,goede,dat was Heinrec van der Hameyden,?,"3 sous et 1,5 chapons"
"f°8 verso, l.3",In Sente Jans Prochie - Steen porte - Corenhuis,Jan van den Wikete,?,weghen van der hofstat van sire moede?,van sire moeder weghen van der hofstat daer si op woende,?,obole
"f°8 verso, l.4 (barré)",In Sente Jans Prochie - Steen porte - Corenhuis,[Willem van Esselen],[?],[1 obstalle],[te ganshoren achter willemes hofstat van kudes in de panpole],[?],[2 sous]
"f°8 verso, l.5",In Sente Jans Prochie - Steen porte - Corenhuis,Willem van Esselen ou Jan van den Wikete?,?,goede,"dat was Gosens Hermans, tenet Willem Esselen",tobbrucele,"5 sous, 4 deniers et 4 chapons"
"f°8 verso, l.6 (barré)",In Sente Jans Prochie - Steen porte - Corenhuis,[Willem van Esselen ou Jan van den Wikete?],[?],[1 playne lands],[-],"[ bi ganshoren, diemen heet galchdrijsch och rullenberghe]",[15 sous]
"f°8 verso, l.7",In Sente Jans Prochie - Steen porte - Corenhuis,Willem van Esselen ou Jan van den Wikete?,?,1/2 bunder beems,dat was leen heinrec strekinc,bi vorst,2 deniers
"f°8 verso, l.8",In Sente Jans Prochie - Steen porte - Corenhuis,Willem van Esselen ou Jan van den Wikete?,?,goede,dat was Lijsbetten Hermans,Eysinghen ochtre Hunsghem,"5,5 deniers"
"f°8 verso, l.9",In Sente Jans Prochie - Steen porte - Corenhuis,Jan Spieghelere,?,sinen oestalle,van nuws?,bi den Coernhuse,3 deniers
"f°8 verso, l.10",In Sente Jans Prochie - Steen porte - Corenhuis,Jan van den Wikete,?,1/2 obstalle,-,"te ganshoren, achter willems hofstat van Kucs, in de Panpole",2 sous
"f°8 verso, l.11",In Sente Jans Prochie - Steen porte - Corenhuis,Jan van den Wikete,?,1/2? Playne lands,diemen heet galchdrijsch och rullenberghe ,bi ganshore gheleghen,11 sous
"f°8 verso, l.12",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec van der Cycken,?,eere hofstat,daer hi op woent,?,obole
"f°8 verso, l.13",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec van der Cycken,?,1 obstalle,-,te sente tuilrics capelle,1 denier
"f°8 verso, l.14",In Sente Jans Prochie - Steen porte - Corenhuis,Willem Vels (Vele),Heinrec Vele sone,2 hofstaden,-,in de vliederstrate,1 denier
"f°8 verso, l.15",In Sente Jans Prochie - Steen porte - Corenhuis,Willem Vele,Heinrec Vele sone,hofstaden,die waren Lijsbetten kindere van der Spreet,ten Cruiskene,obole
"f°8 verso, l.16",In Sente Jans Prochie - Steen porte - Corenhuis,"Mijn vrouwe van bigarden, h. Floreys vrouwe?",-,eere hofstat,die was Jans Kerrekens,te Molenbeke,2 deniers et 2 chapons
"f°8 verso, l.17",In Sente Jans Prochie - Steen porte - Corenhuis,Willem Vele,-,eere hofstat,-,in deicstrate,"1,5 deniers"
"f°8 verso, l.18",In Sente Jans Prochie - Steen porte - Corenhuis,Jan Plaetman,?,1 obstalle,-,in de sespenninc strate,6 deniers
"f°8 verso, l.19",In Sente Jans Prochie - Steen porte - Corenhuis,Gosen de Hertoghe,her,3 hofstaden,die waren Boudens tsconincs ,daer hi woent ende van eere anderen daer bi,1 denier
"f°8 verso, l.20",In Sente Jans Prochie - Steen porte - Corenhuis,Gosen de Hertoghe?,Her?,eere hofstat,die was Aerds connincs wijf ochte Veren Heilgoeden,?,obole
"f°8 verso, l.21",In Sente Jans Prochie - Steen porte - Corenhuis,Gosen de Hertoghe,her,borne ende mure dan den borne ,vore sine huis,?,1 denier
"f°8 verso, l.22",In Sente Jans Prochie - Steen porte - Corenhuis,Jan Scatte,?,andoender,?,van den Ramen,6 deniers?
"f°8 verso, l.23",In Sente Jans Prochie - Steen porte - Corenhuis,claus Cleinjan?,?,2 hofstaden,tenet Gilijs Spilleman,bi den Ramen bi den ouden paercht,2 deniers
"f°8 verso, l.24",In Sente Jans Prochie - Steen porte - Corenhuis,Willen Rongman diemen heet Bole,her,goede,-,dat leet teversberghe,6 deniers
"f°8 verso, l.25",In Sente Jans Prochie - Steen porte - Corenhuis,Willen Rongman diemen heet Bole,her,eere hofstat,die heet Coelzat,?,1 vijrlinc broec
"f°8 verso, l.26",In Sente Jans Prochie - Steen porte - Corenhuis,Ghijsbrecht van Berchem,de beckere,1 cleinen weghe,bi sine huis,?,1 denier
"f°8 verso, l.27",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec de Smet,?,"op de gota, 1 oestalle ocht travaillie",vore sine huis,?,2 deniers
"f°8 verso, l.28",In Sente Jans Prochie - Steen porte - Corenhuis,Jan Cole,?,den mure ,van sinen huis,op de gote bi der beken,1 denier
"f°8 verso, l.29",In Sente Jans Prochie - Steen porte - Corenhuis,Jan Cole,?,van den selven mure,die Willem Mergarts was,?,1 denier
"f°8 verso, l.30",In Sente Jans Prochie - Steen porte - Corenhuis,Gilijs van Wolve,de cordewanijr,sire venstren,vore sine huis,?,1 denier
"f°8 verso, l.31",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec van Zaventen,?,1 voerhoede,"sire hofstat, tenet willem peters",?,1 denier
"f°8 verso, l.32",In Sente Jans Prochie - Steen porte - Corenhuis,Jan de Keser,?,1 voerhoede ,"sire hofstat, tenet willem peters",op de coelmarct op den hoernoc,"12 denier, 1 chapon"
"f°8 verso, l.33",In Sente Jans Prochie - Steen porte - Corenhuis,Jan Persoen van Arscot,de cordewanier,1 venstren?,?,sente Jans,1 denier
"f°9 recto, l.1",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 lande beemds,goede van marien spapen was wilen gherem zuterex dochter van goede dat was gilijs van der plast,boven de plast,12 deniers
"f°9 recto, l.2",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,hove ende den water ende van de bogard,-,ter plast?,"2,5 sous?"
"f°9 recto, l.3",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1/2 (?) dachwande brox?,dat Jan van Lutgard coechte jeghen Bouden van der Arken dat Heinrec vercrecht jeghen Gherad Rulens Leckarts sone,boven der plast,6 deniers
"f°9 recto, l.4",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 bonder? Land,dat hi vercrecht ieghen her mechiele den leu van goede dat was Vranx Box dat was Gilijs van der plast,te Laken,2 sous ou florins? 2 houdere
"f°9 recto, l.5",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,2 hofstaden,van goede dat was Yden Gorijs,bi Jans Huse van Jette in broecht,2 chapons
"f°9 recto, l.6",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 weghe,-,jeghen de kercke van scarenbeke,1 denier
"f°9 recto, l.7",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 hofstat,goede van wevelsborch,van wevelsborch? gheleghen onder Heinrec Gorijs viver,"3,5? Deniers"
"f°9 recto, l.8",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 elsbroecht,dat was Magriete Gosens dochter verninnen?,te wevelsborch,3 deniers
"f°9 recto, l.9",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 hofstat,die was Adaems vernninengheven,te laken ghelghen bi der sclachmolen tosseghem,12 deniers
"f°9 recto, l.10",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 beken,dat hi die mach leiden dore de strate ende dwater dat coemt van der strate boven sijn hof dat hi dat leiden mach in sine water ende de brughe honder? op sinen cost,die loep boven sijn hof,2 deniers
"f°9 recto, l.11",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 hofstat,van goede dat was Staes van Osseghem,bi der sclachmolen tosseghem,12 deniers
"f°9 recto, l.12",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,goede?,die waren jans jonghelmons?,?,9 deniers
"f°9 recto, l.13",In Sente Jans Prochie - Steen porte - Corenhuis,Heinrec Gorijs,?,1 dachwande beemds,dat was Jans tser Lidekens,bi der molen (dat was Jans tser lidekens?),5 deniers
"f°9 recto, l.14",In Sente Jans Prochie - Steen porte - Corenhuis,Ruelen van Kint,? ,sine kelder ter straten & 1 vemstren,-,te wudennen?,1 denier
"f°9 verso, l.1",In Sente Jans Prochie - Steen porte - Corenhuis,Peter Oste,de beckere,1 vorvanghe,vore sijn huys,jeghen den horic vanden gasthuysstrate over daermen te zavele wert gheet,3 deniers
"f°9 verso, l.2",In Sente Jans Prochie - Steen porte - Corenhuis,Daneel de Duvel,?,1 oestalle,vore sijn huys,biden borre vanden steenporten,3 deniers
"f°9 verso, l.3",In Sente Jans Prochie - Steen porte - Corenhuis,Willem van Ransbeke,?,1 vorhoede,sijre hofstat,beneden scantersteen bi peperen?borre,1 sous
"f°9 verso, l.4",In Sente Jans Prochie - Steen porte - Corenhuis,Lonijs Scanijs?,?,1 keldermond,vore sijn huis,jeghen corenhuis naest Willems van Coudenberghe,1 denier
"f°9 verso, l.5",In Sente Jans Prochie - Steen porte - Corenhuis,de Huisarme van Sent Goery/Goerx,-,goede?,van Jans goede van Boerte/Beerte,?,6 deniers et 1 ou 1/2 chapon
"f°9 verso, l.6",In Sente Jans Prochie - Steen porte - Corenhuis,Jan Zueterec,?,vanden selven goede,-,?,3 deniers et 1/4? Chapons?
"f°9 verso, l.7",In Sente Jans Prochie - Steen porte - Corenhuis,Arnt van Ghere,?,vanden selven goede,-,?,3 deniers et 1/4? Chapons?
"f°10 recto, l.1",In Sente Jans Prochie - Steen porte - Corenhuis,Marien Jans Papen wijf tsverwers/tsberwers,-,1 voerhoede,sire hofstat,daer si op woent,1 denier
"f°10 recto, l.2",In Sente Jans Prochie - Steen porte - Corenhuis,Marien Jans Papen wijf tsverwers/tsberwers,.,noch van der selver hofstat,-,te Laken? (barré),1 denier
"f°10 recto, l.3",In Sente Jans Prochie - Steen porte - Corenhuis,Marien Jans Papen wijf tsverwers/tsberwers,-,noch daer van goede,dat was Wouters van der Plast. Tenet?,?,9 deniers
"f°10 recto, l.4",In Sente Jans Prochie - Steen porte - Corenhuis,Rulen ende Jan de Burse,?,1 voervanghe,-,in de rechte strate ter drijschmolen,1 denier
"f°10 recto, l.5",In Sente Jans Prochie - Steen porte - Corenhuis,Rulen de burser?,?,1 voervanghe,-,ane de steinen brugghe,1 denier
"f°10 recto, l.6",In Sente Jans Prochie - Steen porte - Corenhuis,Jan de Vijs ,Peter vijs sone de wisselere,1 voervanghe,-,op de senne dat paymerdekens was ane de mole,1 denier
"f°10 recto, l.7",In Sente Jans Prochie - Steen porte - Corenhuis,Kateline tselmakers,selmakers?,1 kerlderemonde,vore hare huis,bi tsente jans neven den horecht,3 deniers
"f°10 recto, l.9",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Baraet,de borsemakere,1 voerhoede,sijns huis,bi der over molen poerte,3 deniers
"f°10 recto, l.10",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Lijsbeth van der Spreet,?,eere hofstat,daer si woent,bi ter overmolen poerte,obole
"f°10 recto, l.11",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Lijsbeth van der Spreet,?,1 dele ende 1 beemde,-,te cruiskene,"5 sous, 4 deniers"
"f°10 recto,l.12",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Sente Jacobs gasthuis,-,van goede?,dat was Heilwighen Heinrec van rodenbeke van haeren hofstat daer,-,obole
"f°10 recto, l.13",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Sente Jacobs gasthuis,-,1 voerhoede,der voerserder hofstat,achter Gilijs Hoeskens,17 deniers
"f°10 recto, l.14",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Tyloy Veren,"""Marien sone""",1 voerhoede,sire hofstat,bi thuis van spreet van nuws,1 denier
"f°10 recto, l.15",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heilwijch ,Jans wijf uter Scuren,1 voerhoede,hare hofstat,bi Heinrec Monarts woninghen was ,1 denier
"f°10 recto, l.16",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gilijs Hoesken,?,1 voerhoede,sire hofstat,in den hoec bi den mure,4 deniers
"f°10 recto, l.17",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gilijs Hoesken,?,1 hofstat van 1 voerhoede,van goede dat was Heinrec Labus van 1 hofstat van 1 voerhoede,in den wech achter Aerd lijfoeghs wilen was,6 deniers
"f°10 recto, l.18",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gilijs Hoesken,?,trappen ende 1 joecke? ende van mure ,van sinen huis,?,12 deniers
"f°10 recto, l.19",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Wijf van Aerd van Bigarden (was?),?,eere beken,-,die loep bi hare huis,6 deniers
"f°10 recto, l.20",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Wijf van Aerd van Bigarden,?,1 cleinen dele obstals,-,bi den wikete,1 denier
"f°10 recto, l.21 (barré)",Vore der over molen poerte ende buten den wikete ende op de heergraecht,[],[],[],[],[],[]
"f°10 recto, l.22",Vore der over molen poerte ende buten den wikete ende op de heergraecht,de begarde/bogarde?,-,eere hofstat,daer woende Marie tsroeden dat si cochten jeghen Lijsbetten Balloys,?,"5 sous, 2 chapons"
"f°10 recto, l.23",Vore der over molen poerte ende buten den wikete ende op de heergraecht,de begarde/bogarde?,-,1 vorvanghe,-,daer de cepelle op steet,1 denier
"f°10 recto, l.24",Vore der over molen poerte ende buten den wikete ende op de heergraecht,de begarde/bogarde?,-,eere gofstat,die was Amelrex Balloys,?,"3 denier, 2 chapons"
"f°10 recto, l.25",Vore der over molen poerte ende buten den wikete ende op de heergraecht,effacée-illisible,,,,,
"f°10 recto, l.26",Vore der over molen poerte ende buten den wikete ende op de heergraecht,de begarde/bogarde?,-,3 ghedeelten beems daer ,af amelrex balloy heefst tfirendeel,?,27 deniers
"f°10 recto, l.27",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Wijf van Amelrex Balloys,-,virendeel vas voerseits beems,-,?,9 deniers
"f°10 recto, l.28 (barré)",Vore der over molen poerte ende buten den wikete ende op de heergraecht,[Willem Steenken],[?],[den husen],[die waren Jans Makarijs],[tobbrucele],[10 deniers 1 terdendeel d'un chapon
"f°10 recto, l.29",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gilijs (van vlesenbeke?) ende heinrec halfhuis,?,1 hofstat,van goede die maecte joffrouwe Lijsbete Balloys,bi Gilijs Halfhuis?,"2,5 deniers et 1 chapon"
"f°10 recto, l.30",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gilijs (van vlesenbeke?) ende Heinrec Halfhuis,?,1 voerhoede,der voerserde hofstat,?,2 deniers
"f°10 recto, l.31 (fort effacé)",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Kerstine Custers,?,2 stilen ?,-,jude senne gheseet buten sleuswikete?,1 denier
"f°10 verso, l.1",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Kateline Jan Esselens,?,eere hofstat,daer si op woent,op de Hergraecht,"3 sous, 1 chapon"
"f°10 verso, l.2 (barré)",Vore der over molen poerte ende buten den wikete ende op de heergraecht,[Kateline Jan Esselens ende Ghijbrecht de pape],[?],[1 hofstat],[-],[?],[obole]
"f°10 verso, l.3",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Kateline Jan Esselens,?,goede,dat was Gosen tsdivels,te Laken,9 deniers
"f°10 verso, l.4",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Kateline Jan Esselens,?,van goede,dat was Aliten Wouters wijf van Ynghen,?,6 deniers min 1 vijrlinc broec
"f°10 verso, l.5",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec Docinc/Dotinc?,de wevere,1 voerhoede,sijre hofstat,op de Hergraecht boven Jan Esselens wijf,1 denier
"f°10 verso, l.6",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Ghijs de pape,Ghrijsbrecht papen sone,eere hofstat,van goede dat was Aliten jan Esselens,op de Hergraecht,1 chapon
"f°10 verso, l.7",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Ghijs de pape,Ghrijsbrecht papen sone,1 hofstat,-,?,obole
"f°10 verso, l.8",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec Doem,?,1 voerhoode,sijre hofstat,in de Ramen in sespenincenstrate,1 denier
"f°10 verso, l.9",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec Halfhuis,?,1 condute van der beken,dat hi hout van den kinderen tswenkens,in den wech te sinen beemde wert,1 denier
"f°10 verso, l.10",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gilijs Halfhuis,?,eere goten,-,?,1 denier
"f°10 verso, l.11",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gosen uten de poertkene?,ver Marien kindere,1 cleinen deele obstals,vore hare voerhoed hare hofstat,bi der brugghen,1 denier
"f°10 verso, l.12",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan Gosens sone ute den Poertkene,?,1 voerhoede,sire hofstat ,daer sine nuwe poerte steet,3 deniers
"f°10 verso, l.13",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Doyman?,?,1 cleinen onstalle,vore sine huis van nuws,?,3 deniers
"f°10 verso, l.13 aussi",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Doyman?,?,1 voerhoede,"sijns huis, van Peters goed van Ossenem",tossenem,1 denier
"f°10 verso, l.13 aussi",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Doyman?,?,1 voerhoede,der hofstad desvoerseits huis,?,1 denier
"f°10 verso, l.14",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Magriete,Andries Coels dochter,1 voerhoede,van sinen guis,?,6 deniers 
"f°10 verso, l.15",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec Leeuken/Leenken,?,van den ramen,-,?,"4,5 deniers"
"f°10 verso, l.15 aussi",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heinrec Leeuken/Leenken,?,1 aneworpen,-,ten Cruiskene,1 denier
"f°10 verso, l.16",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gulijs Witte ,?,1 voerhoede,sire hofstat ,op deside te willem wilsoens werd van nuws,6 deniers
"f°10 verso, l.17",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Wilsoen,?,1 voerhoede,sire hofstat ,totter beken,2 deniers
"f°10 verso, l.18",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Willem Wilsoen,?,dien,dat hi mochte maken enen mujr op de senne achter de voerseit hofstat,op de senne?,3 deniers
"f°10 verso, l.19",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Heilwijch van  Anderleecht,?,van der anderen dele,-,daer ,1 vijrlinc
"f°10 verso, l.20",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Jan van den Droghenbosche,de wevere,1 deele van 1 obstalle,vore sine huis daer,?,"1,5 deniers"
"f°10 verso, l.21",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Vrancke Boyden,Landais sone,1 deele van 1 obstalle,vore sinen huis,daer,3 deniers
"f°10 verso, l.22",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Clementie,Heinrec vrouw ghneeds,1 deele obstals,daer vore hare huis,?,1 denier
"f°10 verso, l.23",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Gosen van ?Vitheen?,?,1 waterscape,-,bi dechster Hameyde,2 deniers
"f°10 verso, l.24",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Aerd Boycinc,de voldere,1 deele van 1 obstalle,daer vore sine huis,?,1 denier
"f°10 verso, l.25",Vore der over molen poerte ende buten den wikete ende op de heergraecht,Ghijsbrecht van den Werve,?,1 obstalle,van goede dat was Jans van den droghenbosche tswevers ,vore sine huis,"1,5 deniers"
